company_id,company_name,company_industry
1,Guidehouse,Consulting & Professional Services
6,Adyen,Financial Services
8,Diverse Lynx,Staffing & Recruitment
12,CYNET SYSTEMS,Staffing & Recruitment
17,ByteDance,Technology
23,eTeam Inc.,Staffing & Recruitment
36,SynergisticIT,Staffing & Recruitment
38,Thermo Fisher Scientific,Healthcare
45,PayPal,Financial Services
47,Jobot,Staffing & Recruitment
48,"RIT Solutions, Inc.",Staffing & Recruitment
63,Tata Consultancy Services,Consulting & Professional Services
64,IBM,Technology
68,The Walt Disney Company,Media & Entertainment
69,Dell Technologies,Technology
72,CGI France,Consulting & Professional Services
73,SAFRAN,Defense & Aerospace
74,Accenture,Consulting & Professional Services
89,Novo Nordisk A/S,Healthcare
91,Avanade Poland,Consulting & Professional Services
93,Shopee,Retail & E-commerce
102,EY,Consulting & Professional Services
103,H&M Group,Retail & E-commerce
109,Page Personnel,Staffing & Recruitment
113,IFS,Technology
117,Michael Page,Staffing & Recruitment
182,Randstad,Staffing & Recruitment
186,Swisscom,Telecommunications
189,Citigroup,Financial Services
212,Experis,Staffing & Recruitment
224,Burtch Works,Staffing & Recruitment
237,Capital One,Financial Services
239,Ford Motor Company,Manufacturing
244,General Dynamics Information Technology,Defense & Aerospace
275,Harnham,Staffing & Recruitment
309,Datatech Analytics,Staffing & Recruitment
311,Lloyds Banking Group,Financial Services
312,Amazon EU SARL,Retail & E-commerce
332,Searchability (UK) Ltd,Staffing & Recruitment
347,Nigel Frank International,Staffing & Recruitment
362,Vodafone,Telecommunications
364,Publicis Groupe,Media & Entertainment
371,SPECTRUM,Telecommunications
378,GlobalLogic,Technology
384,SoFi,Financial Services
385,NES Fircroft,Staffing & Recruitment
395,Motion Recruitment,Staffing & Recruitment
410,BCforward,Staffing & Recruitment
417,Robert Walters,Staffing & Recruitment
423,TEKsystems,Staffing & Recruitment
431,Capgemini,Consulting & Professional Services
450,Brunel,Staffing & Recruitment
503,ROCKEN,Staffing & Recruitment
519,KPMG,Consulting & Professional Services
529,Google,Technology
533,BAE Systems,Defense & Aerospace
536,Hays Hungary Kft.,Staffing & Recruitment
539,Vinted,Retail & E-commerce
540,DXC Technology,Technology
544,Supermetrics,Technology
547,Scotiabank,Financial Services
565,Bloomberg,Financial Services
578,Careem,Transportation & Logistics
584,Reperio Human Capital,Staffing & Recruitment
589,Archer Recruitment,Staffing & Recruitment
608,BEC Poland,Technology
623,Johnson & Johnson,Healthcare
632,Bayer,Healthcare
647,Addepto,Consulting & Professional Services
671,Link Group,Technology
684,Allegro,Retail & E-commerce
688,SoftServe,Technology
705,Snowflake,Technology
720,ABN AMRO,Financial Services
727,Carrefour,Retail & E-commerce
728,CyberCoders,Staffing & Recruitment
731,ManTech,Defense & Aerospace
735,Oracle,Technology
740,UnitedHealth Group,Healthcare
744,BNP Paribas,Financial Services
750,NTT DATA,Consulting & Professional Services
764,CPL,Staffing & Recruitment
771,PwC,Consulting & Professional Services
781,Match Profiler,Consulting & Professional Services
791,Workwise GmbH,Staffing & Recruitment
812,Smals,Technology
823,AirAsia,Transportation & Logistics
834,VAST Data,Technology
837,Apple,Technology
838,Amazon,Retail & E-commerce
852,TELUS International,Technology
857,Adecco,Staffing & Recruitment
858,CBRE,Real Estate & Construction
862,AbbVie,Healthcare
869,Bruederlinpartner,Staffing & Recruitment
889,AstraZeneca,Healthcare
894,Hays,Staffing & Recruitment
905,NS,Transportation & Logistics
908,S.i. Systems,Staffing & Recruitment
910,Manulife,Financial Services
923,ING Australia,Financial Services
954,Eyetech Solutions,Staffing & Recruitment
966,BBVA,Financial Services
967,NEORIS,Consulting & Professional Services
969,JPMorgan Chase,Financial Services
979,Aditi Consulting,Staffing & Recruitment
989,Epsilon,Media & Entertainment
992,Agoda,Retail & E-commerce
1016,Orange Jordan,Telecommunications
1035,"CGI Group, Inc.",Consulting & Professional Services
1066,Booking.com,Retail & E-commerce
1074,HP,Technology
1088,Telenet,Telecommunications
1112,RELX,Media & Entertainment
1132,ManpowerGroup,Staffing & Recruitment
1143,UBS,Financial Services
1150,ServiceTitan Armenia,Technology
1164,Veeva Systems,Technology
1169,NTT,Telecommunications
1172,Uber,Technology
1180,LEIDOS,Defense & Aerospace
1183,Walmart,Retail & E-commerce
1190,PepsiCo,Manufacturing
1195,TransUnion,Technology
1204,Ryder System,Transportation & Logistics
1205,Qatar Airways,Transportation & Logistics
1213,Peraton,Defense & Aerospace
1224,Shell,Energy & Utilities
1232,Verisk,Financial Services
1239,Artefact,Consulting & Professional Services
1242,Deutsche Bahn,Consulting & Professional Services
1243,Delivery Hero SE,Transportation & Logistics
1260,Inetum,Consulting & Professional Services
1271,Centene Corporation,Healthcare
1272,CVS Health,Healthcare
1281,Zurich Insurance Company Ltd.,Financial Services
1305,Lorien,Staffing & Recruitment
1308,Danske Bank AS Lietuvos filialas,Financial Services
1312,Danske Bank,Financial Services
1322,EPAM Systems,Technology
1341,Logicalis,Technology
1361,CANAL+ Group,Media & Entertainment
1370,NielsenIQ,Consulting & Professional Services
1381,ASML,Technology
1387,Uline,Retail & E-commerce
1416,Pfizer,Healthcare
1424,Wells Fargo,Financial Services
