skill_id,skills,type
0,sql,programming
1,python,programming
2,r,programming
3,go,programming
4,matlab,programming
5,crystal,programming
6,javascript,programming
7,scala,programming
8,sas,programming
9,nosql,programming
10,ruby,programming
11,mongo,programming
12,java,programming
13,c++,programming
14,c#,programming
15,no-sql,programming
16,t-sql,programming
17,mongodb,programming
18,bash,programming
19,html,programming
20,css,programming
21,perl,programming
22,vba,programming
23,visual basic,programming
24,assembly,programming
25,powershell,programming
26,solidity,programming
27,c,programming
28,shell,programming
29,php,programming
30,typescript,programming
31,julia,programming
32,rust,programming
33,cobol,programming
34,golang,programming
35,swift,programming
36,lua,programming
37,groovy,programming
38,vb.net,programming
39,kotlin,programming
40,ocaml,programming
41,haskell,programming
42,lisp,programming
43,clojure,programming
44,objective-c,programming
45,fortran,programming
46,sass,programming
47,elixir,programming
48,dart,programming
49,apl,programming
50,f#,programming
51,erlang,programming
52,delphi,programming
53,pascal,programming
54,visualbasic,programming
55,db2,databases
56,sql server,databases
57,mysql,databases
58,postgresql,databases
59,mongodb,databases
60,dynamodb,databases
61,redis,databases
62,cassandra,databases
63,elasticsearch,databases
64,neo4j,databases
65,sqlite,databases
66,mariadb,databases
67,firebase,databases
68,firestore,databases
69,couchdb,databases
70,couchbase,databases
71,sqlserver,databases
72,sqlserver,databases
73,snowflake,cloud
74,azure,cloud
75,databricks,cloud
76,oracle,cloud
77,aws,cloud
78,gcp,cloud
79,redshift,cloud
80,watson,cloud
81,bigquery,cloud
82,vmware,cloud
83,digitalocean,cloud
84,ibm cloud,cloud
85,aurora,cloud
86,firebase,cloud
87,openstack,cloud
88,heroku,cloud
89,ovh,cloud
90,colocation,cloud
91,linode,cloud
92,spark,libraries
93,pytorch,libraries
94,keras,libraries
95,matplotlib,libraries
96,plotly,libraries
97,kafka,libraries
98,pyspark,libraries
99,react,libraries
100,numpy,libraries
101,seaborn,libraries
102,tensorflow,libraries
103,spring,libraries
104,airflow,libraries
105,hadoop,libraries
106,hugging face,libraries
107,scikit-learn,libraries
108,nltk,libraries
109,pandas,libraries
110,jupyter,libraries
111,theano,libraries
112,gdpr,libraries
113,mxnet,libraries
114,ionic,libraries
115,ggplot2,libraries
116,graphql,libraries
117,opencv,libraries
118,selenium,libraries
119,tidyverse,libraries
120,dplyr,libraries
121,mlr,libraries
122,rshiny,libraries
123,xamarin,libraries
124,flutter,libraries
125,electron,libraries
126,tidyr,libraries
127,cordova,libraries
128,qt,libraries
129,mlpack,libraries
130,shogun,libraries
131,capacitor,libraries
132,dlib,libraries
133,chainer,libraries
134,gtx,libraries
135,huggingface,libraries
136,fann,libraries
137,asp.net,webframeworks
138,express,webframeworks
139,ruby,webframeworks
140,fastapi,webframeworks
141,flask,webframeworks
142,jquery,webframeworks
143,angular,webframeworks
144,node.js,webframeworks
145,django,webframeworks
146,vue,webframeworks
147,angular.js,webframeworks
148,react.js,webframeworks
149,ruby on rails,webframeworks
150,node,webframeworks
151,phoenix,webframeworks
152,laravel,webframeworks
153,symfony,webframeworks
154,play framework,webframeworks
155,asp.net core,webframeworks
156,next.js,webframeworks
157,vue.js,webframeworks
158,drupal,webframeworks
159,nuxt.js,webframeworks
160,fastify,webframeworks
161,svelte,webframeworks
162,blazor,webframeworks
163,ember.js,webframeworks
164,deno,webframeworks
165,gatsby,webframeworks
166,rubyon rails,webframeworks
167,asp.netcore,webframeworks
168,asp.netcore,webframeworks
169,windows,os
170,linux,os
171,centos,os
172,unix,os
173,arch,os
174,redhat,os
175,macos,os
176,ubuntu,os
177,debian,os
178,suse,os
179,kali,os
180,wsl,os
181,fedora,os
182,visio,analyst_tools
183,tableau,analyst_tools
184,excel,analyst_tools
185,looker,analyst_tools
186,power bi,analyst_tools
187,microstrategy,analyst_tools
188,word,analyst_tools
189,ssis,analyst_tools
190,ssrs,analyst_tools
191,sap,analyst_tools
192,alteryx,analyst_tools
193,spss,analyst_tools
194,sas,analyst_tools
195,sheets,analyst_tools
196,ms access,analyst_tools
197,qlik,analyst_tools
198,powerpoint,analyst_tools
199,datarobot,analyst_tools
200,splunk,analyst_tools
201,spreadsheet,analyst_tools
202,outlook,analyst_tools
203,cognos,analyst_tools
204,dax,analyst_tools
205,sharepoint,analyst_tools
206,powerbi,analyst_tools
207,powerbi,analyst_tools
208,nuix,analyst_tools
209,esquisse,analyst_tools
210,msaccess,analyst_tools
211,msaccess,analyst_tools
212,atlassian,other
213,flow,other
214,kubernetes,other
215,docker,other
216,git,other
217,github,other
218,terraform,other
219,jenkins,other
220,gitlab,other
221,ansible,other
222,chef,other
223,puppet,other
224,yarn,other
225,bitbucket,other
226,terminal,other
227,npm,other
228,unity,other
229,svn,other
230,codecommit,other
231,pulumi,other
232,unreal,other
233,homebrew,other
234,jira,async
235,confluence,async
236,planner,async
237,notion,async
238,airtable,async
239,smartsheet,async
240,trello,async
241,asana,async
242,workfront,async
243,wrike,async
244,clickup,async
245,monday.com,async
246,microsoft lists,async
247,wimi,async
248,dingtalk,async
249,workzone,async
250,swit,async
251,symphony,sync
252,slack,sync
253,unify,sync
254,zoom,sync
255,wire,sync
256,webex,sync
257,microsoft teams,sync
258,mattermost,sync
259,twilio,sync
260,google chat,sync
261,rocketchat,sync
262,ringcentral,sync
